"playerID","yearID","AB","H","BB","HBP","X2B","X3B","HR","SF","Games","POS","birthYear","birthMonth","birthDay","Age","Age_centered","SLG","OBP","wRC_plus"
"piedrjo01",2004,91,27,5,1,8,0,3,0,65,"OF",1979,4,17,25,-5,0.483516483516484,0.34020618556701,124.094256259205
"reyesre01",2004,61,9,5,0,2,0,0,0,57,"OF",1978,2,21,26,-4,0.180327868852459,0.212121212121212,61.6244411326379
"sweenma01",2004,177,47,32,2,12,2,9,4,461,"1B",1969,10,26,34,4,0.508474576271186,0.376744186046512,133.915648403626
"walkela01",2004,108,35,25,4,9,3,6,1,1229,"OF",1966,12,1,37,7,0.62962962962963,0.463768115942029,165.330112721417
"wilsopr01",2004,202,50,17,3,11,0,6,0,1059,"OF",1974,7,19,29,-1,0.391089108910891,0.315315315315315,107.598340915173
"ardoida01",2005,210,48,20,9,10,0,6,2,165,"C",1974,7,8,30,0,0.361904761904762,0.319502074688797,104.557992491602
"atkinga01",2005,519,149,45,5,31,1,13,4,781,"3B",1979,12,12,25,-5,0.425818882466281,0.347294938917976,117.869543725852
"barmecl01",2005,350,101,16,6,19,1,10,1,1166,"SS",1979,3,6,26,-4,0.434285714285714,0.329758713136729,115.813711221754
"bigbila01",2005,66,14,3,1,1,1,0,0,355,"OF",1977,11,4,27,-3,0.257575757575758,0.257142857142857,79.7705627705628
"byrneer01",2005,53,10,7,0,2,0,0,0,889,"OF",1976,2,16,29,-1,0.226415094339623,0.283333333333333,80.4339622641509
"clossjd01",2005,237,52,32,1,12,2,7,1,141,"C",1980,1,15,25,-5,0.375527426160338,0.313653136531365,105.27612997649
"francje01",2005,58,6,7,0,2,0,0,0,254,"P",1981,1,8,24,-6,0.137931034482759,0.2,53.9310344827586
"garabed01",2005,88,27,8,3,5,0,1,0,20,"2B",1976,12,2,28,-2,0.397727272727273,0.383838383838384,120.795454545455
"gonzalu02",2005,404,118,20,6,25,0,9,3,276,"2B",1979,6,26,26,-4,0.420792079207921,0.33256351039261,114.564402167699
"greento02",2005,126,32,7,1,4,0,7,0,363,"C",1971,5,8,34,4,0.452380952380952,0.298507462686567,112.540867093106
"hawpebr01",2005,305,80,43,0,10,3,9,3,823,"OF",1979,6,22,26,-4,0.40327868852459,0.35042735042735,115.50315258512
"heltoto01",2005,509,163,106,9,45,2,20,1,2193,"1B",1973,8,20,31,1,0.534381139489195,0.4448,149.533548133595
